
SOAP Analysis Report Output for starlink_100_sats_3.orb,
Generated: Thu Dec 15 22:26:46 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3158,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2695,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2114,
       Rise,         Set, Duration (s),
       0.000,     296.464,     296.464,
   13662.692,   14619.024,     956.331,
   25117.847,   28936.946,    3819.099,
   39439.219,   43259.114,    3819.895,
   53756.362,   54714.896,     958.534,
   68078.226,   69032.087,     953.861,
   82395.774,   83353.714,     957.940,
Is_True,          13.6136%,
Analysis,STARLINK-3349 - STARLINK-1019,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3349 - STARLINK-3450,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3508,
       Rise,         Set, Duration (s),
   14102.207,   14872.506,     770.299,
   28069.202,   28913.976,     844.774,
   39365.132,   40030.766,     665.634,
Is_True,           2.6397%,
Analysis,STARLINK-3349 - STARLINK-1321,
       Rise,         Set, Duration (s),
    3279.636,    4135.356,     855.720,
   17639.066,   18416.634,     777.569,
   31975.005,   32719.048,     744.043,
   46341.169,   46993.522,     652.354,
   60681.247,   61291.848,     610.601,
Is_True,           4.2133%,
Analysis,STARLINK-3349 - STARLINK-1742,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2480,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2340,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2442,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3501,
       Rise,         Set, Duration (s),
   10733.325,   11324.228,     590.903,
   24556.755,   25355.532,     798.777,
   35793.338,   36408.751,     615.413,
Is_True,           2.3207%,
Analysis,STARLINK-3349 - STARLINK-2541,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-1570,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2475,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - FALCON 9 DEB11,
       Rise,         Set, Duration (s),
   71978.209,   86400.000,   14421.791,
Is_True,          16.6919%,
Analysis,STARLINK-3349 - STARLINK-3114,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3115,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-1260,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - FALCON 9 DEB9,
       Rise,         Set, Duration (s),
       0.000,   29437.146,   29437.146,
Is_True,          34.0708%,
Analysis,STARLINK-3349 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
       0.000,    1507.585,    1507.585,
    5649.214,   13194.723,    7545.508,
   15330.501,   24663.214,    9332.713,
   26792.882,   30392.926,    3600.045,
   32523.105,   41873.557,    9350.451,
   49753.443,   53375.984,    3622.541,
   55499.886,   59120.701,    3620.815,
   61239.315,   70586.079,    9346.764,
   72699.893,   82057.087,    9357.194,
   84172.792,   86400.000,    2227.208,
Is_True,          68.8783%,
Analysis,STARLINK-3349 - IOAG-North1,
       Rise,         Set, Duration (s),
       0.000,    1692.525,    1692.525,
    3837.716,   13180.203,    9342.487,
   15323.445,   24668.894,    9345.448,
   26805.509,   30411.253,    3605.744,
   32541.967,   41874.734,    9332.766,
   44004.871,   53359.641,    9354.770,
   55490.349,   59104.679,    3614.330,
   61233.064,   70594.902,    9361.839,
   72714.598,   82067.312,    9352.714,
   84177.786,   86400.000,    2222.214,
Is_True,          77.8065%,
Analysis,STARLINK-3349 - IOAG-North2,
       Rise,         Set, Duration (s),
       0.000,    1708.479,    1708.479,
    3852.489,   13187.501,    9335.013,
   15317.680,   24653.258,    9335.578,
   26792.007,   30396.897,    3604.890,
   32535.012,   41886.553,    9351.541,
   44019.510,   53373.523,    9354.013,
   55494.928,   59105.718,    3610.790,
   61221.722,   70579.633,    9357.910,
