
SOAP Analysis Report Output for starlink_starlink_20_sats_32.orb,
Generated: Thu Dec 15 21:12:19 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
   54026.905,   63514.755,    9487.850,
   65532.482,   74993.019,    9460.537,
   77017.522,   86400.000,    9382.478,
Is_True,          72.4793%,
Analysis,STARLINK-2562 - IOAG-North1,
       Rise,         Set, Duration (s),
       0.000,    6004.353,    6004.353,
    7937.016,   17503.181,    9566.164,
   19463.291,   23258.877,    3795.586,
   25229.088,   34779.359,    9550.271,
   36753.463,   46246.428,    9492.964,
   48237.007,   63485.607,   15248.601,
   65511.258,   74998.327,    9487.069,
   77037.108,   86400.000,    9362.892,
Is_True,          83.9212%,
Analysis,STARLINK-2562 - IOAG-North2,
       Rise,         Set, Duration (s),
       0.000,    6021.526,    6021.526,
    7963.815,   17528.447,    9564.632,
   19463.607,   23257.746,    3794.139,
   25211.890,   34745.146,    9533.256,
   36728.371,   46251.544,    9523.173,
   48255.015,   52010.119,    3755.104,
   54019.774,   63497.307,    9477.533,
   65506.649,   74973.549,    9466.901,
   77008.617,   86400.000,    9391.383,
Is_True,          81.6292%,
Analysis,STARLINK-2562 - IOAG-South1,
       Rise,         Set, Duration (s),
       0.000,    6047.364,    6047.364,
    7959.436,   17543.279,    9583.842,
   19467.745,   23286.640,    3818.895,
   25223.009,   34768.281,    9545.272,
   36746.328,   46281.015,    9534.687,
   48266.089,   52030.715,    3764.626,
   54017.774,   63519.313,    9501.538,
   65518.900,   74998.254,    9479.353,
   77023.622,   86400.000,    9376.378,
Is_True,          81.7731%,
Analysis,STARLINK-2562 - IOAG-South2,
       Rise,         Set, Duration (s),
       0.000,    6035.704,    6035.704,
    7947.070,   17530.329,    9583.259,
   19483.484,   23289.558,    3806.075,
   25239.472,   34789.140,    9549.668,
   36744.968,   46275.243,    9530.275,
   48250.366,   52014.884,    3764.518,
   59771.956,   63514.968,    3743.013,
   65532.662,   75015.790,    9483.128,
   77035.450,   86400.000,    9364.550,
Is_True,          75.0697%,
Analysis,STARLINK-1954 - STARLINK-1016,
       Rise,         Set, Duration (s),
    7015.817,   10806.209,    3790.392,
   21346.096,   22271.213,     925.116,
   35678.285,   36601.589,     923.305,
   50008.558,   50933.712,     925.154,
   64340.740,   65264.080,     923.340,
   78671.006,   79596.197,     925.190,
Is_True,           9.7367%,
Analysis,STARLINK-1954 - STARLINK-1773,
       Rise,         Set, Duration (s),
   10507.513,   11367.009,     859.496,
   24835.912,   25700.678,     864.766,
   39169.071,   40029.130,     860.060,
   53497.468,   54362.799,     865.330,
   67830.636,   68691.244,     860.608,
   82159.031,   83024.912,     865.880,
Is_True,           5.9909%,
Analysis,STARLINK-1954 - STARLINK-2706,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1954 - STARLINK-2568,
       Rise,         Set, Duration (s),
       0.000,    6825.733,    6825.733,
    7352.259,   21163.007,   13810.748,
   21725.265,   35487.922,   13762.657,
   36015.151,   86400.000,   50384.849,
Is_True,          98.1296%,
Analysis,STARLINK-1954 - STARLINK-3698,
       Rise,         Set, Duration (s),
   17889.870,   24542.939,    6653.068,
   25829.867,   32877.868,    7048.001,
Is_True,          15.8577%,
Analysis,STARLINK-1954 - STARLINK-3566,
       Rise,         Set, Duration (s),
       0.000,   20676.493,   20676.493,
Is_True,          23.9311%,
Analysis,STARLINK-1954 - STARLINK-2683,
       Rise,         Set, Duration (s),
    6692.961,    7357.615,     664.654,
   21022.030,   21691.206,     669.176,
   35355.481,   36019.671,     664.190,
   61149.529,   61818.089,     668.560,
   75482.981,   76146.539,     663.558,
Is_True,           3.8543%,
Analysis,STARLINK-1954 - STARLINK-2654,
       Rise,         Set, Duration (s),
    7150.451,   10859.453,    3709.002,
   21480.788,   22324.549,     843.761,
   35813.351,   36655.001,     841.650,
   50143.677,   50987.275,     843.598,
   64476.227,   65317.715,     841.489,
   78806.542,   79649.980,     843.438,
Is_True,           9.1701%,
Analysis,STARLINK-1954 - STARLINK-3153,
       Rise,         Set, Duration (s),
   10519.519,   11422.993,     903.474,
   24827.431,   25744.886,     917.456,
   39140.676,   40061.210,     920.534,
   53449.684,   54382.162,     932.478,
   67763.881,   68697.765,     933.885,
   82073.951,   83017.810,     943.860,
Is_True,           6.4256%,
Analysis,STARLINK-1954 - STARLINK-2571,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1954 - STARLINK-3177,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1954 - STARLINK-1329,
       Rise,         Set, Duration (s),
    6668.330,    7303.942,     635.612,
   20984.418,   21649.811,     665.393,
   46798.960,   47430.165,     631.205,
   61114.861,   61776.189,     661.329,
