
SOAP Analysis Report Output for starlink_20_sats_40.orb,
Generated: Mon Jan 09 13:33:10 2023,
Start: 2016/04/05 01:42:00.00, Stop: 2016/04/06 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3718 - STARLINK-3255,
   12636.597,   15995.659,    3359.062,
   23703.298,   27062.015,    3358.718,
   29249.907,   38159.643,    8909.736,
   40348.970,   49248.347,    8899.376,
   51438.714,   60324.593,    8885.879,
   62513.136,   71396.388,    8883.252,
   73593.043,   82494.604,    8901.561,
   84689.453,   86400.000,    1710.547,
Is_True,          71.5504%,
Analysis,STARLINK-1457 - STARLINK-1465,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1457 - STARLINK-3458,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1457 - STARLINK-3632,
       Rise,         Set, Duration (s),
       0.000,   16188.998,   16188.998,
   18035.829,   24701.432,    6665.603,
   26565.875,   44984.148,   18418.273,
   46824.751,   53500.353,    6675.602,
   55362.298,   73793.644,   18431.346,
   75620.229,   82313.485,    6693.256,
   84170.036,   86400.000,    2229.964,
Is_True,          87.1563%,
Analysis,STARLINK-1457 - STARLINK-2390,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1457 - STARLINK-1138,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1457 - STARLINK-2624,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1457 - STARLINK-3568,
       Rise,         Set, Duration (s),
       0.000,    3545.463,    3545.463,
   10832.850,   32334.875,   21502.025,
   39624.277,   61139.665,   21515.388,
   68426.945,   86378.375,   17951.429,
Is_True,          74.6693%,
Analysis,STARLINK-1457 - STARLINK-1433,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1457 - STARLINK-3543,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1457 - STARLINK-1378,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1457 - STARLINK-1580,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1457 - STARLINK-3641,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1457 - STARLINK-3321,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1457 - FALCON 9 DEB11,
       Rise,         Set, Duration (s),
    5416.923,   13499.777,    8082.853,
   16456.000,   21515.372,    5059.372,
   39718.891,   44901.324,    5182.433,
   46817.816,   51524.995,    4707.179,
   54339.262,   78182.936,   23843.674,
   81001.763,   86156.538,    5154.776,
Is_True,          60.2202%,
Analysis,STARLINK-1457 - STARLINK-1644,
       Rise,         Set, Duration (s),
       0.000,   26673.281,   26673.281,
