
SOAP Analysis Report Output for starlink_80_sats_43.orb,
Generated: Fri Dec 16 10:22:47 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-3048,
       Rise,         Set, Duration (s),
       0.000,      15.653,      15.653,
   10766.992,   14419.142,    3652.150,
   25138.928,   28818.996,    3680.068,
   39515.271,   43218.301,    3703.030,
   53891.339,   57613.102,    3721.764,
   68272.502,   72008.127,    3735.624,
   82652.829,   83521.400,     868.571,
Is_True,          22.4269%,
Analysis,STARLINK-2702 - STARLINK-2403,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-2573,
       Rise,         Set, Duration (s),
   10123.499,   10841.383,     717.884,
   21587.777,   22305.775,     717.998,
   35921.359,   36632.654,     711.295,
   50248.490,   50966.767,     718.278,
   64582.094,   65293.647,     711.553,
   78909.227,   79627.780,     718.553,
Is_True,           4.9717%,
Analysis,STARLINK-2702 - STARLINK-1306,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-1128,
       Rise,         Set, Duration (s),
       0.000,     112.579,     112.579,
   10760.642,   14430.455,    3669.813,
   25064.030,   25885.705,     821.675,
   39363.799,   40206.085,     842.287,
   53668.590,   54521.925,     853.336,
   67969.663,   68841.063,     871.399,
   82275.813,   83155.503,     879.690,
Is_True,           9.3180%,
Analysis,STARLINK-2702 - STARLINK-1458,
       Rise,         Set, Duration (s),
       0.000,    3922.544,    3922.544,
   14276.622,   18248.240,    3971.618,
   28612.324,   32583.643,    3971.320,
   42938.039,   46909.330,    3971.291,
   57273.763,   61244.757,    3970.995,
   71599.467,   72709.207,    1109.741,
   85935.212,   86400.000,     464.788,
Is_True,          24.7480%,
Analysis,STARLINK-2702 - STARLINK-1634,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-3269,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-1865,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-3713,
       Rise,         Set, Duration (s),
